GTEX-VUSH	GTEX-VUSH-0005-SM-3NB2H	SRR8230028
GTEX-W5WG	GTEX-W5WG-0006-SM-3GIJT	SRR8230033
GTEX-W5X1	GTEX-W5X1-0006-SM-3GIJZ	SRR8230054
GTEX-WCDI	GTEX-WCDI-0005-SM-3NB2M	SRR8230065
GTEX-WEY5	GTEX-WEY5-0006-SM-3GIKG	SRR8230069
GTEX-WFG7	GTEX-WFG7-0005-SM-3GIKM	SRR8230092
GTEX-WFG8	GTEX-WFG8-0006-SM-3GIKS	SRR8230116
GTEX-WFJO	GTEX-WFJO-0005-SM-3GIKY	SRR8230140
GTEX-WFON	GTEX-WFON-0005-SM-3NMC9	SRR8230154
GTEX-WH7G	GTEX-WH7G-0005-SM-3NMBX	SRR8230179
GTEX-WHPG	GTEX-WHPG-0006-SM-3NMBV	SRR8230204
GTEX-WHSB	GTEX-WHSB-0005-SM-3LK7C	SRR8230226
GTEX-WHSE	GTEX-WHSE-0006-SM-3NMBW	SRR8230245
GTEX-WHWD	GTEX-WHWD-0005-SM-3LK7D	SRR8230274
GTEX-WK11	GTEX-WK11-0006-SM-3NB3J	SRR8230305
GTEX-WL46	GTEX-WL46-0006-SM-4OOS5	SRR8230318
GTEX-WOFL	GTEX-WOFL-0006-SM-3TW8K	SRR8230341
GTEX-WOFM	GTEX-WOFM-0005-SM-3MJF3	SRR8230349
GTEX-WQUQ	GTEX-WQUQ-0006-SM-3MJF4	SRR8230364
GTEX-WRHK	GTEX-WRHK-0005-SM-3MJF5	SRR8230379
GTEX-WVLH	GTEX-WVLH-0006-SM-3MJF7	SRR8230410
GTEX-WWYW	GTEX-WWYW-0005-SM-3NB3K	SRR8230433
GTEX-WXYG	GTEX-WXYG-0005-SM-3NB3M	SRR8230454
GTEX-WY7C	GTEX-WY7C-0006-SM-3NB3L	SRR8230472
GTEX-WYBS	GTEX-WYBS-0005-SM-4ONDR	SRR8230501
GTEX-WYJK	GTEX-WYJK-0005-SM-3NMA1	SRR8230513
GTEX-WYVS	GTEX-WYVS-0006-SM-3NMA7	SRR8230540
GTEX-WZTO	GTEX-WZTO-0006-SM-3NM9T	SRR8230569
GTEX-X15G	GTEX-X15G-0005-SM-3NMDA	SRR8230598
GTEX-X261	GTEX-X261-0005-SM-4PQYX	SRR8230616
GTEX-X3Y1	GTEX-X3Y1-0006-SM-3P5ZG	SRR8230638
GTEX-X4EO	GTEX-X4EO-0006-SM-3P5ZF	SRR8230657
GTEX-X4EP	GTEX-X4EP-0005-SM-3P5ZE	SRR8230672
GTEX-X4XX	GTEX-X4XX-0005-SM-3NMCS	SRR8230708
GTEX-X4XY	GTEX-X4XY-0006-SM-46MV2	SRR8230728
GTEX-X585	GTEX-X585-0005-SM-46MV3	SRR8230744
GTEX-X5EB	GTEX-X5EB-0006-SM-46MV5	SRR8230766
GTEX-X62O	GTEX-X62O-0005-SM-46MV1	SRR8230789
GTEX-X8HC	GTEX-X8HC-0006-SM-46MV6	SRR8230810
GTEX-XAJ8	GTEX-XAJ8-0006-SM-46MVM	SRR8230825
GTEX-XBEC	GTEX-XBEC-0006-SM-4AT5T	SRR8230841
GTEX-XBED	GTEX-XBED-0006-SM-47JXO	SRR8230855
GTEX-XBEW	GTEX-XBEW-0006-SM-4AT4E	SRR8230879
GTEX-XGQ4	GTEX-XGQ4-0005-SM-4AT5U	SRR8230898
GTEX-XMD1	GTEX-XMD1-0006-SM-4AT4Q	SRR8230949
GTEX-XMD2	GTEX-XMD2-0006-SM-4WWEG	SRR8230964
GTEX-XMD3	GTEX-XMD3-0006-SM-4AT5X	SRR8230974
GTEX-XMK1	GTEX-XMK1-0005-SM-4B665	SRR8230978
GTEX-XOT4	GTEX-XOT4-0005-SM-4B64S	SRR8230995
GTEX-XPT6	GTEX-XPT6-0006-SM-4B66Q	SRR8231027
GTEX-XPVG	GTEX-XPVG-0006-SM-4B65Z	SRR8231037
