Run	Sample_Name	body_site	submitted_subject_id
SRR8220983	GTEX-13NYB-0011-R5a-SM-5MR45	Brain - Caudate (basal ganglia)	GTEX-13NYB
SRR1403240	GTEX-11H98-0126-SM-5EGHG	Skin - Sun Exposed (Lower leg)	GTEX-11H98
SRR8218791	GTEX-11H98-0126-SM-5EGHG	Skin - Sun Exposed (Lower leg)	GTEX-11H98
SRR1403259	GTEX-146FH-0126-SM-5QGPP	Skin - Sun Exposed (Lower leg)	GTEX-146FH
SRR8222254	GTEX-146FH-0126-SM-5QGPP	Skin - Sun Exposed (Lower leg)	GTEX-146FH
SRR1403280	GTEX-144GN-2426-SM-5LU4R	Muscle - Skeletal	GTEX-144GN
SRR8222045	GTEX-144GN-2426-SM-5LU4R	Muscle - Skeletal	GTEX-144GN
SRR1403322	GTEX-ZYWO-0126-SM-5GZWQ	Adrenal Gland	GTEX-ZYWO
SRR8232877	GTEX-ZYWO-0126-SM-5GZWQ	Adrenal Gland	GTEX-ZYWO
SRR1403344	GTEX-W5WG-0926-SM-4RTX9	Ovary	GTEX-W5WG
SRR8230037	GTEX-W5WG-0926-SM-4RTX9	Ovary	GTEX-W5WG
SRR1403366	GTEX-Y5V5-2526-SM-4VBQ4	Muscle - Skeletal	GTEX-Y5V5
SRR8231393	GTEX-Y5V5-2526-SM-4VBQ4	Muscle - Skeletal	GTEX-Y5V5
SRR1403390	GTEX-1212Z-0626-SM-5FQTB	Heart - Left Ventricle	GTEX-1212Z
SRR8219392	GTEX-1212Z-0626-SM-5FQTB	Heart - Left Ventricle	GTEX-1212Z
SRR1403412	GTEX-ZVT2-2026-SM-5NQ8Q	Pancreas	GTEX-ZVT2
SRR8232614	GTEX-ZVT2-2026-SM-5NQ8Q	Pancreas	GTEX-ZVT2
SRR1403434	GTEX-WY7C-0726-SM-4ONCB	Liver	GTEX-WY7C
SRR8230480	GTEX-WY7C-0726-SM-4ONCB	Liver	GTEX-WY7C
SRR1403458	GTEX-ZDYS-0226-SM-5HL4K	Heart - Left Ventricle	GTEX-ZDYS
SRR8232004	GTEX-ZDYS-0226-SM-5HL4K	Heart - Left Ventricle	GTEX-ZDYS
SRR1403478	GTEX-TMMY-0926-SM-4WKH4	Lung	GTEX-TMMY
SRR8229662	GTEX-TMMY-0926-SM-4WKH4	Lung	GTEX-TMMY
SRR1403502	GTEX-XBEW-0826-SM-4QASQ	Artery - Tibial	GTEX-XBEW
SRR8230886	GTEX-XBEW-0826-SM-4QASQ	Artery - Tibial	GTEX-XBEW
SRR1403526	GTEX-13OVL-1526-SM-5K7WA	Nerve - Tibial	GTEX-13OVL
SRR8221347	GTEX-13OVL-1526-SM-5K7WA	Nerve - Tibial	GTEX-13OVL
SRR1403544	GTEX-13VXU-0926-SM-5IFFH	Liver	GTEX-13VXU
SRR8221820	GTEX-13VXU-0926-SM-5IFFH	Liver	GTEX-13VXU
SRR1403565	GTEX-14BIL-2926-SM-5SIAF	Pituitary	GTEX-14BIL
SRR8222586	GTEX-14BIL-2926-SM-5SIAF	Pituitary	GTEX-14BIL
SRR1403589	GTEX-ZGAY-0926-SM-4WWBQ	Artery - Tibial	GTEX-ZGAY
SRR8232189	GTEX-ZGAY-0926-SM-4WWBQ	Artery - Tibial	GTEX-ZGAY
SRR1403611	GTEX-ZYT6-1326-SM-5E453	Pancreas	GTEX-ZYT6
SRR8232832	GTEX-ZYT6-1326-SM-5E453	Pancreas	GTEX-ZYT6
SRR1403814	GTEX-13D11-1026-SM-5IJFB	Breast - Mammary Tissue	GTEX-13D11
SRR8220626	GTEX-13D11-1026-SM-5IJFB	Breast - Mammary Tissue	GTEX-13D11
SRR1403831	GTEX-13X6J-0011-R7b-SM-5PNUC	Brain - Putamen (basal ganglia)	GTEX-13X6J
SRR8221905	GTEX-13X6J-0011-R7b-SM-5PNUC	Brain - Putamen (basal ganglia)	GTEX-13X6J
SRR1403853	GTEX-11O72-2226-SM-5PNW2	Colon - Transverse	GTEX-11O72
SRR8218929	GTEX-11O72-2226-SM-5PNW2	Colon - Transverse	GTEX-11O72
SRR1403875	GTEX-13OW5-3126-SM-5MR3Y	Brain - Cerebellum	GTEX-13OW5
SRR8221376	GTEX-13OW5-3126-SM-5MR3Y	Brain - Cerebellum	GTEX-13OW5
SRR1403893	GTEX-11DZ1-0126-SM-5985Q	Skin - Sun Exposed (Lower leg)	GTEX-11DZ1
SRR8218606	GTEX-11DZ1-0126-SM-5985Q	Skin - Sun Exposed (Lower leg)	GTEX-11DZ1
SRR1403915	GTEX-13OVH-0011-R11b-SM-5KM4X	Brain - Cerebellar Hemisphere	GTEX-13OVH
SRR8221240	GTEX-13OVH-0011-R11b-SM-5KM4X	Brain - Cerebellar Hemisphere	GTEX-13OVH
SRR1403934	GTEX-ZYWO-1126-SM-5U3SH	Esophagus - Gastroesophageal Junction	GTEX-ZYWO
SRR8232885	GTEX-ZYWO-1126-SM-5U3SH	Esophagus - Gastroesophageal Junction	GTEX-ZYWO
SRR1403958	GTEX-145LS-0011-R7a-SM-5PNWM	Brain - Putamen (basal ganglia)	GTEX-145LS
SRR8222064	GTEX-145LS-0011-R7a-SM-5PNWM	Brain - Putamen (basal ganglia)	GTEX-145LS
SRR1403980	GTEX-ZT9W-0426-SM-57WF4	Artery - Coronary	GTEX-ZT9W
SRR8232383	GTEX-ZT9W-0426-SM-57WF4	Artery - Coronary	GTEX-ZT9W
